Sample ID,TLV,esTLV,dimTLV
PT_0000,300,50,150
PT_0001,300,50,150
PT_0002,300,50,150
PT_0003,300,50,150
PT_0004,300,50,150
PT_0005,300,50,150
PT_0006,300,50,150
PT_0007,300,50,150
PT_0008,300,50,150
PT_0009,300,50,150
PT_0010,300,50,150
PT_0011,300,50,150
PT_0012,300,50,150
PT_0013,300,50,150
PT_0014,300,50,150
PT_0015,300,50,150
PT_0016,300,50,150
PT_0017,300,50,150
PT_0018,300,50,150
PT_0019,300,50,150
PT_0020,300,50,150
PT_0021,300,50,150
PT_0022,300,50,150
PT_0023,300,50,150
PT_0024,300,50,150
PT_0025,300,50,150
PT_0026,300,50,150
PT_0027,300,50,150
PT_0028,300,50,150
PT_0029,300,50,150
PT_0030,300,50,150
PT_0031,300,50,150
PT_0032,300,50,150
PT_0033,300,50,150
PT_0034,300,50,150
PT_0035,300,50,150
PT_0036,300,50,150
PT_0037,300,50,150
PT_0038,300,50,150
PT_0039,300,50,150
PT_0040,300,50,150
PT_0041,300,50,150
PT_0042,300,50,150
PT_0043,300,50,150
PT_0044,300,50,150
PT_0045,300,50,150
PT_0046,300,50,150
PT_0047,300,50,150
PT_0048,300,50,150
PT_0049,300,50,150
PT_0050,300,50,150
PT_0051,300,50,150
PT_0052,300,50,150
PT_0053,300,50,150
PT_0054,300,50,150
PT_0055,300,50,150
PT_0056,300,50,150
PT_0057,300,50,150
PT_0058,300,50,150
PT_0059,300,50,150
PT_0060,300,50,150
PT_0061,300,50,150
PT_0062,300,50,150
PT_0063,300,50,150
PT_0064,300,50,150
PT_0065,300,50,150
PT_0066,300,50,150
PT_0067,300,50,150
PT_0068,300,50,150
PT_0069,300,50,150
PT_0070,300,50,150
PT_0071,300,50,150
PT_0072,300,50,150
PT_0073,300,50,150
PT_0074,300,50,150
PT_0075,300,50,150
PT_0076,300,50,150
PT_0077,300,50,150
PT_0078,300,50,150
PT_0079,300,50,150
PT_0080,300,50,150
PT_0081,300,50,150
PT_0082,300,50,150
PT_0083,300,50,150
PT_0084,300,50,150
PT_0085,300,50,150
PT_0086,300,50,150
PT_0087,300,50,150
PT_0088,300,50,150
PT_0089,300,50,150
PT_0090,300,50,150
PT_0091,300,50,150
PT_0092,300,50,150
PT_0093,300,50,150
PT_0094,300,50,150
PT_0095,300,50,150
PT_0096,300,50,150
PT_0097,300,50,150
PT_0098,300,50,150
PT_0099,300,50,150
PT_0100,300,50,150
PT_0101,300,50,150
PT_0102,300,50,150
PT_0103,300,50,150
PT_0104,300,50,150
PT_0105,300,50,150
PT_0106,300,50,150
PT_0107,300,50,150
PT_0108,300,50,150
PT_0109,300,50,150
PT_0110,300,50,150
PT_0111,300,50,150
PT_0112,300,50,150
PT_0113,300,50,150
PT_0114,300,50,150
PT_0115,300,50,150
PT_0116,300,50,150
PT_0117,300,50,150
PT_0118,300,50,150
PT_0119,300,50,150
PT_0120,300,50,150
PT_0121,300,50,150
PT_0122,300,50,150
PT_0123,300,50,150
PT_0124,300,50,150
PT_0125,300,50,150
PT_0126,300,50,150
PT_0127,300,50,150
PT_0128,300,50,150
PT_0129,300,50,150
PT_0130,300,50,150
PT_0131,300,50,150
PT_0132,300,50,150
PT_0133,300,50,150
PT_0134,300,50,150
PT_0135,300,50,150
PT_0136,300,50,150
PT_0137,300,50,150
PT_0138,300,50,150
PT_0139,300,50,150
PT_0140,300,50,150
PT_0141,300,50,150
PT_0142,300,50,150
PT_0143,300,50,150
PT_0144,300,50,150
PT_0145,300,50,150
PT_0146,300,50,150
PT_0147,300,50,150
PT_0148,300,50,150
PT_0149,300,50,150
PT_0150,300,50,150
PT_0151,300,50,150
PT_0152,300,50,150
PT_0153,300,50,150
PT_0154,300,50,150
PT_0155,300,50,150
PT_0156,300,50,150
PT_0157,300,50,150
PT_0158,300,50,150
PT_0159,300,50,150
PT_0160,300,50,150
PT_0161,300,50,150
PT_0162,300,50,150
PT_0163,300,50,150
PT_0164,300,50,150
PT_0165,300,50,150
PT_0166,300,50,150
PT_0167,300,50,150
PT_0168,300,50,150
PT_0169,300,50,150
PT_0170,300,50,150
PT_0171,300,50,150
PT_0172,300,50,150
PT_0173,300,50,150
PT_0174,300,50,150
PT_0175,300,50,150
PT_0176,300,50,150
PT_0177,300,50,150
PT_0178,300,50,150
PT_0179,300,50,150
PT_0180,300,50,150
PT_0181,300,50,150
PT_0182,300,50,150
PT_0183,300,50,150
PT_0184,300,50,150
PT_0185,300,50,150
PT_0186,300,50,150
PT_0187,300,50,150
PT_0188,300,50,150
PT_0189,300,50,150
PT_0190,300,50,150
PT_0191,300,50,150
PT_0192,300,50,150
PT_0193,300,50,150
PT_0194,300,50,150
PT_0195,300,50,150
PT_0196,300,50,150
PT_0197,300,50,150
PT_0198,300,50,150
PT_0199,300,50,150
PT_0200,300,50,150
PT_0201,300,50,150
PT_0202,300,50,150
PT_0203,300,50,150
PT_0204,300,50,150
PT_0205,300,50,150
PT_0206,300,50,150
PT_0207,300,50,150
PT_0208,300,50,150
PT_0209,300,50,150
PT_0210,300,50,150
PT_0211,300,50,150
PT_0212,300,50,150
PT_0213,300,50,150
PT_0214,300,50,150
PT_0215,300,50,150
PT_0216,300,50,150
PT_0217,300,50,150
PT_0218,300,50,150
PT_0219,300,50,150
PT_0220,300,50,150
PT_0221,300,50,150
PT_0222,300,50,150
PT_0223,300,50,150
PT_0224,300,50,150
PT_0225,300,50,150
PT_0226,300,50,150
PT_0227,300,50,150
PT_0228,300,50,150
PT_0229,300,50,150
PT_0230,300,50,150
PT_0231,300,50,150
PT_0232,300,50,150
PT_0233,300,50,150
PT_0234,300,50,150
