Sample ID,TLV,esTLV,dimTLV
PT_0000,50,5,25
PT_0001,50,5,25
PT_0002,50,5,25
PT_0003,50,5,25
PT_0004,50,5,25
PT_0005,50,5,25
PT_0006,50,5,25
PT_0007,50,5,25
PT_0008,50,5,25
PT_0009,50,5,25
PT_0010,50,5,25
PT_0011,50,5,25
PT_0012,50,5,25
PT_0013,50,5,25
PT_0014,50,5,25
PT_0015,50,5,25
PT_0016,50,5,25
PT_0017,50,5,25
PT_0018,50,5,25
PT_0019,50,5,25
PT_0020,50,5,25
PT_0021,50,5,25
PT_0022,50,5,25
PT_0023,50,5,25
PT_0024,50,5,25
PT_0025,50,5,25
PT_0026,50,5,25
PT_0027,50,5,25
PT_0028,50,5,25
PT_0029,50,5,25
PT_0030,50,5,25
PT_0031,50,5,25
PT_0032,50,5,25
PT_0033,50,5,25
PT_0034,50,5,25
PT_0035,50,5,25
PT_0036,50,5,25
PT_0037,50,5,25
PT_0038,50,5,25
PT_0039,50,5,25
PT_0040,50,5,25
PT_0041,50,5,25
PT_0042,50,5,25
PT_0043,50,5,25
PT_0044,50,5,25
PT_0045,50,5,25
PT_0046,50,5,25
PT_0047,50,5,25
PT_0048,50,5,25
PT_0049,50,5,25
PT_0050,50,5,25
PT_0051,50,5,25
PT_0052,50,5,25
PT_0053,50,5,25
PT_0054,50,5,25
PT_0055,50,5,25
PT_0056,50,5,25
PT_0057,50,5,25
PT_0058,50,5,25
PT_0059,50,5,25
PT_0060,50,5,25
PT_0061,50,5,25
PT_0062,50,5,25
PT_0063,50,5,25
PT_0064,50,5,25
PT_0065,50,5,25
PT_0066,50,5,25
PT_0067,50,5,25
PT_0068,50,5,25
PT_0069,50,5,25
PT_0070,50,5,25
PT_0071,50,5,25
PT_0072,50,5,25
PT_0073,50,5,25
PT_0074,50,5,25
PT_0075,50,5,25
PT_0076,50,5,25
PT_0077,50,5,25
PT_0078,50,5,25
PT_0079,50,5,25
PT_0080,50,5,25
PT_0081,50,5,25
PT_0082,50,5,25
PT_0083,50,5,25
PT_0084,50,5,25
PT_0085,50,5,25
PT_0086,50,5,25
PT_0087,50,5,25
PT_0088,50,5,25
PT_0089,50,5,25
PT_0090,50,5,25
PT_0091,50,5,25
PT_0092,50,5,25
PT_0093,50,5,25
PT_0094,50,5,25
PT_0095,50,5,25
PT_0096,50,5,25
PT_0097,50,5,25
PT_0098,50,5,25
PT_0099,50,5,25
PT_0100,50,5,25
PT_0101,50,5,25
PT_0102,50,5,25
PT_0103,50,5,25
PT_0104,50,5,25
PT_0105,50,5,25
PT_0106,50,5,25
PT_0107,50,5,25
PT_0108,50,5,25
PT_0109,50,5,25
PT_0110,50,5,25
PT_0111,50,5,25
PT_0112,50,5,25
PT_0113,50,5,25
PT_0114,50,5,25
PT_0115,50,5,25
PT_0116,50,5,25
PT_0117,50,5,25
PT_0118,50,5,25
PT_0119,50,5,25
PT_0120,50,5,25
PT_0121,50,5,25
PT_0122,50,5,25
PT_0123,50,5,25
PT_0124,50,5,25
PT_0125,50,5,25
PT_0126,50,5,25
PT_0127,50,5,25
PT_0128,50,5,25
PT_0129,50,5,25
PT_0130,50,5,25
PT_0131,50,5,25
PT_0132,50,5,25
PT_0133,50,5,25
PT_0134,50,5,25
PT_0135,50,5,25
PT_0136,50,5,25
PT_0137,50,5,25
PT_0138,50,5,25
PT_0139,50,5,25
PT_0140,50,5,25
PT_0141,50,5,25
PT_0142,50,5,25
PT_0143,50,5,25
PT_0144,50,5,25
PT_0145,50,5,25
PT_0146,50,5,25
PT_0147,50,5,25
PT_0148,50,5,25
PT_0149,50,5,25
PT_0150,50,5,25
PT_0151,50,5,25
PT_0152,50,5,25
PT_0153,50,5,25
PT_0154,50,5,25
PT_0155,50,5,25
PT_0156,50,5,25
PT_0157,50,5,25
PT_0158,50,5,25
PT_0159,50,5,25
PT_0160,50,5,25
PT_0161,50,5,25
PT_0162,50,5,25
PT_0163,50,5,25
PT_0164,50,5,25
PT_0165,50,5,25
PT_0166,50,5,25
PT_0167,50,5,25
PT_0168,50,5,25
PT_0169,50,5,25
PT_0170,50,5,25
PT_0171,50,5,25
PT_0172,50,5,25
PT_0173,50,5,25
PT_0174,50,5,25
PT_0175,50,5,25
PT_0176,50,5,25
PT_0177,50,5,25
PT_0178,50,5,25
PT_0179,50,5,25
PT_0180,50,5,25
PT_0181,50,5,25
PT_0182,50,5,25
PT_0183,50,5,25
PT_0184,50,5,25
PT_0185,50,5,25
PT_0186,50,5,25
PT_0187,50,5,25
PT_0188,50,5,25
PT_0189,50,5,25
PT_0190,50,5,25
PT_0191,50,5,25
PT_0192,50,5,25
PT_0193,50,5,25
PT_0194,50,5,25
PT_0195,50,5,25
PT_0196,50,5,25
PT_0197,50,5,25
PT_0198,50,5,25
PT_0199,50,5,25
PT_0200,50,5,25
PT_0201,50,5,25
PT_0202,50,5,25
PT_0203,50,5,25
PT_0204,50,5,25
