SamplePoint_ID SamplePointX SamplePointY SamplePointZ ColorR ColorG ColorB ColorA
PT_0000 -0.9290 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0001 -0.9290 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0002 -0.9290 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0003 -0.9290 0.1020 -1.2890 0.0000 0.0000 1.0000 1.0000
PT_0004 -0.9290 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0005 -0.9290 0.1020 -1.9460 0.0000 0.0000 1.0000 1.0000
PT_0006 -0.9290 0.1020 -2.2740 0.0000 0.0000 1.0000 1.0000
PT_0007 -0.9290 0.1020 -2.6030 0.0900 0.0000 0.9100 1.0000
PT_0008 -0.9290 0.1020 -2.9310 0.1460 0.0000 0.8540 1.0000
PT_0009 -0.9290 0.1020 -3.2590 0.1239 0.0000 0.8761 1.0000
PT_0010 -0.9290 0.1020 -3.5880 0.0268 0.0000 0.9732 1.0000
PT_0011 -0.9290 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0012 -0.9290 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0013 -0.9290 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0014 -0.9290 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0015 -0.9290 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0016 -0.9290 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0017 -0.9290 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0018 -0.9290 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0019 -0.9290 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0020 -0.9290 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0021 -0.9290 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0022 -0.9290 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0023 -0.9290 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0024 -0.9290 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0025 -0.9290 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0026 -0.9290 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
