Sensor ID,  X, Y, Z, Feature ID
PT_0000,0.929,0.304,0.102,Floor
PT_0001,0.929,0.633,0.102,Floor
PT_0002,0.929,0.961,0.102,Floor
PT_0003,0.929,1.289,0.102,Floor
PT_0004,0.929,1.618,0.102,Floor
PT_0005,0.929,1.946,0.102,Floor
PT_0006,0.929,2.274,0.102,Floor
PT_0007,0.929,2.603,0.102,Floor
PT_0008,0.929,2.931,0.102,Floor
PT_0009,0.929,3.259,0.102,Floor
PT_0010,0.929,3.588,0.102,Floor
PT_0011,0.929,3.916,0.102,Floor
PT_0012,0.929,4.244,0.102,Floor
PT_0013,0.929,4.572,0.102,Floor
PT_0014,0.929,4.901,0.102,Floor
PT_0015,0.929,5.229,0.102,Floor
PT_0016,0.929,5.557,0.102,Floor
PT_0017,0.929,5.886,0.102,Floor
PT_0018,0.929,6.214,0.102,Floor
PT_0019,0.929,6.542,0.102,Floor
PT_0020,0.929,6.871,0.102,Floor
PT_0021,0.929,7.199,0.102,Floor
PT_0022,0.929,7.527,0.102,Floor
PT_0023,0.929,7.856,0.102,Floor
PT_0024,0.929,8.184,0.102,Floor
PT_0025,0.929,8.512,0.102,Floor
PT_0026,0.929,8.841,0.102,Floor
PT_0027,0.929,9.169,0.102,Floor
PT_0028,0.929,9.497,0.102,Floor
PT_0029,0.929,9.825,0.102,Floor
PT_0030,0.929,10.154,0.102,Floor
PT_0031,1.252,0.304,0.102,Floor
PT_0032,1.252,0.633,0.102,Floor
PT_0033,1.252,0.961,0.102,Floor
PT_0034,1.252,1.289,0.102,Floor
PT_0035,1.252,1.618,0.102,Floor
PT_0036,1.252,1.946,0.102,Floor
PT_0037,1.252,2.274,0.102,Floor
PT_0038,1.252,2.603,0.102,Floor
PT_0039,1.252,2.931,0.102,Floor
PT_0040,1.252,3.259,0.102,Floor
PT_0041,1.252,3.588,0.102,Floor
PT_0042,1.252,3.916,0.102,Floor
PT_0043,1.252,4.244,0.102,Floor
PT_0044,1.252,4.572,0.102,Floor
PT_0045,1.252,4.901,0.102,Floor
PT_0046,1.252,5.229,0.102,Floor
PT_0047,1.252,5.557,0.102,Floor
PT_0048,1.252,5.886,0.102,Floor
PT_0049,1.252,6.214,0.102,Floor
PT_0050,1.252,6.542,0.102,Floor
PT_0051,1.252,6.871,0.102,Floor
PT_0052,1.252,7.199,0.102,Floor
PT_0053,1.252,7.527,0.102,Floor
PT_0054,1.252,7.856,0.102,Floor
PT_0055,1.252,8.184,0.102,Floor
PT_0056,1.252,8.512,0.102,Floor
PT_0057,1.252,8.841,0.102,Floor
PT_0058,1.252,9.169,0.102,Floor
PT_0059,1.252,9.497,0.102,Floor
PT_0060,1.252,9.825,0.102,Floor
PT_0061,1.252,10.154,0.102,Floor
PT_0062,1.576,0.304,0.102,Floor
